POSSESSION_MAJORITARIA,GAME_COUNT
Liverpool,15
Chelsea,13
Real Madrid,12
Manchester City,11
Ajax,9
Benfica,9
Barcelona,8
Man City,7
Bayern,7
Juventus,7
Paris Saint-Germain,7
Napoli,7
Bayern Munich,7
Marseille,6
Paris,5
Milan,5
Man United,5
Sevilla,5
Atletico Madrid,5
Wolfsburg,4
Sporting CP,4
FC Porto,4
Dortmund,4
RB Leipzig,4
Bayer Leverkusen,4
Shakhtar Donetsk,3
Villarreal,3
Inter,3
Club Brugge,3
Zenit,3
Young Boys,3
Atalanta,3
Leipzig,3
Tottenham Hotspur,3
Dinamo Zagreb,3
Borussia Dortmund,3
Salzburg,2
Besiktas,2
Lille,2
Sheriff,2
Atl�tico de Madrid,2
Man City ,2
Tottenham,2
Celtic,2
Porto,2
Internazionale,2
AC Milan,2
Malmo,1
Benefics,1
Dynamo Hyiv,1
Benefica,1
Dynamo Kyiv,1
Shakhtar Dopetsk,1
Chelesa,1
Malo,1
PAris,1
Salzvurg,1
Eintracht Frankfurt,1
null,0
